trail_nr browser notification_status frequency distribution Energy_trapz(J)
trial12 firefox off low even 51.10439563945599
trial12 firefox off low even 40.49084011388198
trial12 firefox off low even 36.38357484479603
trial12 firefox off low even 38.340892567132
trial12 firefox off low even 45.29741377033199
trial12 firefox off low even 37.66452608542201
trial12 firefox off low even 36.92286210088601
trial12 firefox off low even 37.78207484087999
trial12 firefox off low even 39.63002312866599
trial12 firefox off low even 39.90475261225201
trial12 firefox off low even 37.918131082591984
trial12 firefox off low even 37.975280189924
trial12 firefox off low even 49.14454520017
trial12 firefox off low even 37.971061391860005
trial12 firefox off low even 39.14110020000798
trial12 firefox off low even 57.80048560839998
trial12 firefox off low even 39.47199412209398
trial13 firefox off low burst 47.857030351585024
trial13 firefox off low burst 37.17265771350301
trial13 firefox off low burst 36.30509180205051
trial13 firefox off low burst 35.7802968837925
trial13 firefox off low burst 36.71666497135003
trial13 firefox off low burst 35.78988770151599
trial13 firefox off low burst 33.93259279801302
trial13 firefox off low burst 35.40077997827149
trial13 firefox off low burst 35.53339442381299
trial13 firefox off low burst 37.25978051010152
trial13 firefox off low burst 35.3167479584595
trial13 firefox off low burst 35.68904557049001
trial13 firefox off low burst 36.41769168592752
trial13 firefox off low burst 46.722446641494
trial13 firefox off low burst 37.809728460803015
trial13 firefox off low burst 36.484012535815
trial13 firefox off low burst 36.517586413477
trial13 firefox off low burst 35.389834629058
trial13 firefox off low burst 34.354755305396495
trial13 firefox off low burst 39.382264543218994
trial13 firefox off low burst 37.12209825862851
trial13 firefox off low burst 36.54538107697749
trial13 firefox off low burst 35.918916164124504
trial13 firefox off low burst 35.25336633146248
trial13 firefox off low burst 35.35600265728699
trial13 firefox off low burst 36.42596466966602
trial13 firefox off low burst 35.5003890937345
trial13 firefox off low burst 36.7354740704575
trial13 firefox off low burst 36.46470946892153
trial13 firefox off low burst 37.09270957996501
trial14 firefox off high even 48.28634668565398
trial14 firefox off high even 48.69218493578998
trial14 firefox off high even 47.41339166084397
trial14 firefox off high even 47.74469094535803
trial14 firefox off high even 49.06069041112799
trial14 firefox off high even 46.50673567696203
trial14 firefox off high even 59.21995977988201
trial14 firefox off high even 48.202548833472
trial14 firefox off high even 48.71502999686397
trial14 firefox off high even 49.06081142793603
trial14 firefox off high even 51.38422846972806
trial14 firefox off high even 48.26306364349799
trial14 firefox off high even 48.01417790597996
trial14 firefox off high even 48.52047898519797
trial14 firefox off high even 52.61124753667201
trial14 firefox off high even 48.78859333557002
trial14 firefox off high even 48.43298738487
trial14 firefox off high even 48.15986218203598
trial14 firefox off high even 48.593107946394014
trial14 firefox off high even 50.27587028884196
trial14 firefox off high even 49.474336954283984
trial14 firefox off high even 47.35441313492999
trial14 firefox off high even 49.70057886096598
trial14 firefox off high even 50.12493322696199
trial14 firefox off high even 51.412544205396
trial14 firefox off high even 48.219224592792
trial14 firefox off high even 48.934799175900025
trial14 firefox off high even 47.865155861226
trial14 firefox off high even 52.56300330269998
trial14 firefox off high even 47.94790180547397
trial15 firefox off high burst 38.83085594919301
trial15 firefox off high burst 40.055841931686
trial15 firefox off high burst 38.50401726423
trial15 firefox off high burst 45.39590217976796
trial15 firefox off high burst 50.350544739830994
trial15 firefox off high burst 38.67110412845399
trial15 firefox off high burst 38.50047990576899
trial15 firefox off high burst 40.05465278812197
trial15 firefox off high burst 39.43568292010198
trial15 firefox off high burst 39.99905090334301
trial15 firefox off high burst 38.558499674919005
trial15 firefox off high burst 37.44393817300503
trial15 firefox off high burst 41.00703912983998
trial15 firefox off high burst 40.01462870399399
trial15 firefox off high burst 38.73341085984298
trial15 firefox off high burst 39.19970275017301
trial15 firefox off high burst 40.202407452920994
trial15 firefox off high burst 41.80763879951398
trial15 firefox off high burst 38.46818545239599
trial15 firefox off high burst 37.288289609697
trial15 firefox off high burst 39.543080968671006
trial15 firefox off high burst 38.722725448386015
trial15 firefox off high burst 37.67795842708799
trial15 firefox off high burst 39.32499621855001
trial15 firefox off high burst 39.001720093812
trial15 firefox off high burst 40.616702820141015
trial15 firefox off high burst 40.637727827676
trial15 firefox off high burst 40.19557342180799
trial15 firefox off high burst 39.23498195446197
trial15 firefox off high burst 50.812927252353006
trial16 firefox on idle " " 41.60015872562401
trial16 firefox on idle " " 36.75062038424998
trial16 firefox on idle " " 34.106292374418004
trial16 firefox on idle " " 35.412797910984
trial16 firefox on idle " " 36.62977305491799
trial16 firefox on idle " " 35.88413055262597
trial16 firefox on idle " " 43.986754648942
trial16 firefox on idle " " 42.501459311324
trial16 firefox on idle " " 44.24836616883799
trial16 firefox on idle " " 42.10309771209397
trial16 firefox on idle " " 34.209768948622
trial16 firefox on idle " " 33.42330982729399
trial16 firefox on idle " " 37.465550796842
trial16 firefox on idle " " 34.21428394970401
trial16 firefox on idle " " 33.792151761326
trial16 firefox on idle " " 40.98353615816202
trial16 firefox on idle " " 35.20371273961801
trial16 firefox on idle " " 35.04941096342199
trial16 firefox on idle " " 44.38341995104
trial16 firefox on idle " " 36.29815808671799
trial16 firefox on idle " " 33.63195384940798
trial16 firefox on idle " " 35.026906745308
trial16 firefox on idle " " 40.07879673769801
trial16 firefox on idle " " 35.539337203502
trial16 firefox on idle " " 36.079856220624
trial16 firefox on idle " " 42.901071130366006
trial16 firefox on idle " " 34.422960750486
trial16 firefox on idle " " 34.43222990426398
trial16 firefox on idle " " 35.60795280538399
trial16 firefox on idle " " 38.00158378813599
trial17 firefox on low even 59.18362453232999
trial17 firefox on low even 58.00596012737503
trial17 firefox on low even 62.25331307630999
trial17 firefox on low even 60.52759811469
trial17 firefox on low even 58.61678424227995
trial17 firefox on low even 57.70500481438502
trial17 firefox on low even 69.08710757045499
trial17 firefox on low even 57.871021069039976
trial17 firefox on low even 59.506323640434985
trial17 firefox on low even 68.11532658616501
trial17 firefox on low even 57.71831565655996
trial17 firefox on low even 50.78679588824002
trial17 firefox on low even 57.16769691696997
trial17 firefox on low even 56.21564079533009
trial17 firefox on low even 58.265510942450064
trial17 firefox on low even 58.30980403402504
trial17 firefox on low even 60.56588405318497
trial17 firefox on low even 49.15821333348999
trial17 firefox on low even 55.03873057700992
trial17 firefox on low even 58.41280973189998
trial17 firefox on low even 59.18244162268498
trial17 firefox on low even 58.123560318789984
trial17 firefox on low even 58.08036823263001
trial17 firefox on low even 66.66827771125998
